Name,License Number,Date of Birth
Nathan Huerta,H5808-45065-60716,07/16/1976
Mitchell Adams,A4485-43977-40915,09/15/1934
Alvin Hensley,H4583-42724-60510,05/10/1996
Michele Baldwin,B955-26221-81107,11/07/1938
Jessica Brown,B8596-17070-51029,10/29/1975
Walter Keller,K5704-3949-61224,12/24/1966
Monica Guzman,G1488-23301-31102,11/02/1943
Amber Ross,R6737-18567-60921,09/21/1966
John Moore,M2397-61928-10302,03/02/2001
Jonathan Rollins,R2820-84055-90209,02/09/1969
Erin Martinez,M1132-15788-61009,10/09/1976
Mr. Harold Morse,H1196-67710-00228,02/28/1990
Jennifer Hicks,H4183-81813-50315,03/15/1955
Adam Smith,S6712-13789-71105,11/05/1967
Matthew Campbell,C6510-74839-51211,12/11/1965
Tracy Martinez,M9946-74531-91030,10/30/1979
Jennifer Jensen,J9396-95927-80805,08/05/1968
Kenneth Rivera,R8870-65387-90714,07/14/1959
Steven Kirby,K9904-25863-70527,05/27/1967
Nicole Sanchez,S1162-26601-40919,09/19/1944
Michael Grant,G4144-14298-80510,05/10/1978
Janet Baxter,B4948-38542-31224,12/24/1963
Karen Castillo,C8499-48783-40226,02/26/2004
Kayla Garza,G9471-95470-10620,06/20/1981
Jennifer Chen,C6591-48073-90122,01/22/1969
Joseph Shaw,S9944-93004-40815,08/15/1974
Melissa Levy,L2047-42612-90513,05/13/1969
Makayla Williams,W9845-4337-11007,10/07/1951
Jaime Aguirre,A6206-84135-50513,05/13/1985
Brenda Phillips,P3347-84452-60928,09/28/1956
Vincent Beck,B7080-75529-30227,02/27/1953
Christina Young,Y7563-515-60124,01/24/1966
Matthew Walker,W1252-15508-40805,08/05/1994
Thomas Ward,W40-88505-80726,07/26/1988
April Ayala,A36-49135-51128,11/28/1995
Amy Woods,W4450-93286-00509,05/09/1970
Amber Ryan,R3369-91590-21102,11/02/1932
Samantha Beck,B5143-10314-20630,06/30/2002
Rebekah Colon,C7391-19503-60212,02/12/1986
Jennifer Malone,M1053-33545-90731,07/31/1939
Brian Smith,S8615-14257-90321,03/21/1999
George Zamora,Z1880-14197-81107,11/07/1948
Alicia Richardson MD,R2103-86284-60427,04/27/1976
Marissa Rubio,R2800-74399-51104,11/04/1935
Daniel Moreno,M3892-97601-60819,08/19/1986
Anna Rodriguez,R9219-11043-10929,09/29/2001
Colleen Smith,S992-60305-90827,08/27/1959
Juan Johnson,J730-62090-60309,03/09/1976
Yvonne Mendez,M556-59691-61023,10/23/1956
Robert Simpson,S8616-43829-50908,09/08/1945
Ryan Lee,L4801-56470-50125,01/25/1995
Courtney Beck,B8343-98899-70916,09/16/1937
Valerie Blair,B9228-21917-21002,10/02/1992
Amy Collins,C958-11874-60222,02/22/1976
Matthew Bailey,B418-99017-10307,03/07/1941
Keith Daniel,D2289-2668-60712,07/12/1946
Valerie Mcdaniel,M6929-7502-31017,10/17/2003
Tyler Cortez,C7974-41173-60330,03/30/1966
Candace Nichols,N83-97135-60125,01/25/1956
Michelle Jensen,J3273-4908-00516,05/16/1980
Whitney Miller,M944-88030-40226,02/26/1944
Brian Weaver,W8849-77238-50518,05/18/1935
Donna Greer,G3561-39528-40624,06/24/1974
Christopher Orozco,O9934-10943-30913,09/13/2003
Emily Stein,S1276-94641-21021,10/21/1942
Miranda Vance,V1063-21366-01012,10/12/1950
Sarah Elliott,E2804-89228-80712,07/12/1978
Kristy Hunt,H2259-56905-10806,08/06/1991
Melvin Hernandez,H8419-29198-70416,04/16/1947
Erica Crosby,C1111-77435-30331,03/31/1943
Bryce Ashley,A3072-40314-31216,12/16/1963
Michelle Barrett,B7089-69451-50409,04/09/1935
Dominique Robertson,R4723-26641-21031,10/31/1972
Casey Moreno,M8501-95827-31114,11/14/1963
Richard Garcia,G4994-57125-80706,07/06/1978
Alexis Frederick,F8394-47466-10526,05/26/2001
Diana Matthews,M7859-3377-71016,10/16/1957
Melissa Cruz,C2925-14935-40914,09/14/1954
Billy Shannon,S5867-41564-10323,03/23/2001
Melissa Steele,S5883-39832-30222,02/22/1943
Jonathan Ramirez,R7323-87748-10305,03/05/1941
Todd Wilkerson,W3314-86263-21124,11/24/1982
Eric Gonzalez,G8327-65773-60226,02/26/1966
John Steele,S4608-61927-01017,10/17/1970
Andrea Chung,C8540-92326-60717,07/17/1986
Justin Freeman,F8049-97292-40712,07/12/1994
Kevin Cox,C4496-83923-70625,06/25/1937
Derek Cunningham,C5473-58663-90626,06/26/1959
Steve Williams,W8018-31854-40114,01/14/1944
Jeremy Davis,D3100-71848-60201,02/01/1996
Kelly Downs,D7384-36429-81127,11/27/1998
Diana Thornton,T4613-12272-01128,11/28/1980
Bryan Johnson,J2487-56021-60122,01/22/1986
Jacob Holden,H5211-71205-60425,04/25/1996
Amanda Chapman,C1998-18247-41113,11/13/1974
Melissa Bishop,B1789-86954-60812,08/12/1936
William Powers,P9111-13347-50823,08/23/1985
Tyler Taylor,T3071-11794-20128,01/28/1942
Christopher Mccoy,M1969-91042-41016,10/16/1954
Derek Gillespie,G26-56591-20621,06/21/1952
